Year,Population 15+ (thousands),Labour force,Employed,Unemployed,participation rates,Official unemployment rate,Adjusted unemployment rate,employment-to-population ratio,Births,Deaths,Natural increase,Marriages fell,Divorces
1395,59528,25723,22525,3198,43.2,12.4,12.41,37.8,1528053,369751,1158302,704716,181049
1396,59954,26504,23297,3207,44.2,12.1,10.05,38.9,1487923,376731,1111192,612237,182913
1397,60632,26986,23731,3255,44.5,12.1,9.4,39.1,1366519,376953,989566,556315,179700
1398,61666,27168,24274,2894,44.1,10.7,8.88,39.4,1196132,395319,800813,536636,179217
1399,62376,25737,23263,2474,41.3,9.6,13.67,37.3,1114115,511881,602234,563567,188187
1400,63066,25822,23447,2375,40.9,9.2,13.94,37.2,1116212,544517,571695,573789,205284
1401,63794,26065,23716,2349,40.9,9,13.94,37.2,1075231,418781,656450,527871,208385
1402,64552,26638,24490,2148,41.3,8.1,12.18,37.9,1057964,442142,615822,484861,206477
1403,65338,26818,24788,2030,41,7.6,12.18,37.9,979929,458858,521071,472590,197172
1404,66148,26837,24822,2014,40.6,7.5,13.14,37.5,892278,459984,432294,431664,181327
